Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseC1,CC1,Major,3,90
U,BS1,1,CourseC6,CC6,Minor,4,90
U,BS1,1,CourseC2,CC2,Major,3,91
U,BS1,2,CourseC11,CC11,Major,3,92
U,BS1,2,CourseC16,CC16,Minor,4,90
U,BS1,2,CourseC12,CC12,Major,3,90
U,BS1,3,CourseC21,CC21,Major,3,90
U,BS1,3,CourseC26,CC26,Minor,4,91
U,BS1,3,CourseC22,CC22,Major,3,92
U,BS1,4,CourseC31,CC31,Major,3,93
U,BS1,4,CourseC36,CC36,Minor,4,90
U,BS1,4,CourseC32,CC32,Major,3,90
U,BS1,5,CourseC41,CC41,Major,3,85
U,BS1,5,CourseC46,CC46,Minor,4,96
U,BS1,5,CourseC42,CC42,Major,3,87
U,BS1,6,CourseC51,CC51,Major,3,88
U,BS1,6,CourseC56,CC56,Minor,3,90
U,BS1,6,CourseC52,CC52,Major,3,90
U,BS1,7,CourseC61,CC61,Major,3,91
U,BS1,7,CourseC66,CC66,Minor,3,92
U,BS1,7,CourseC62,CC62,Major,3,93
